70	19	223	1980
70	19	1071	1980
70	19	1071	1980
1166	10	1167	1980
1166	10	1167	1980
1203	11	298	1980
2169	1	2170	1980
2521	14	2522	1980
2521	14	2522	1980
3215	37	3216	1980
3547	12	3548	1980
4066	9	4067	1980
2169	1	2170	1980
1048	29	5541	1980
1048	29	5541	1980
4015	19	5560	1980
40	14	5639	1980
5860	9	5861	1980
1125	19	6142	1980
478	14	6681	1980
7108	0	7109	1980
7108	0	7109	1980
7268	19	7269	1980
7327	11	7328	1980
7327	11	7328	1980
7632	9	6412	1980
8416	22	8417	1980
8435	9	8436	1980
8824	19	8825	1980
40	14	9088	1980
40	14	9088	1980
9630	11	9631	1980
9879	22	9880	1980
7647	19	10081	1980
7647	19	10081	1980
5133	22	10516	1980
10599	22	10600	1980
70	19	10644	1980
70	19	10644	1980
11080	9	11081	1980
11127	9	11128	1980
11127	9	11128	1980
7804	9	11426	1980
7804	9	11426	1980
11691	0	2622	1980
70	19	223	1981
515	9	516	1981
1015	9	1016	1981
1044	9	1045	1981
1203	11	298	1981
2082	9	2083	1981
2169	1	2170	1981
2699	9	1415	1981
2834	22	2835	1981
3211	9	3212	1981
3215	37	3216	1981
3547	12	3548	1981
3931	9	3932	1981
4066	9	4067	1981
4381	9	4382	1981
2169	1	2170	1981
5296	13	5297	1981
5430	11	5431	1981
4015	19	5560	1981
40	14	5639	1981
5860	9	5861	1981
5878	19	5879	1981
5938	0	5939	1981
1125	19	6142	1981
40	14	6171	1981
478	14	6681	1981
40	14	6952	1981
7268	19	7269	1981
7550	4	7551	1981
7632	9	6412	1981
40	14	7693	1981
788	12	7694	1981
275	19	7789	1981
8213	19	8214	1981
2797	12	8374	1981
8416	22	8417	1981
8435	9	8436	1981
8447	22	8448	1981
8824	19	8825	1981
8964	1	8965	1981
9045	9	9046	1981
9630	11	9631	1981
9879	22	9880	1981
5133	22	10516	1981
10542	9	10543	1981
10599	22	10600	1981
2968	0	10606	1981
40	14	10807	1981
5605	0	10979	1981
11080	9	11081	1981
5563	19	11132	1981
11632	9	11633	1981
11691	0	2622	1981
535	9	11807	1981
313	2	314	1982
515	9	516	1982
568	1	569	1982
1013	9	1014	1982
1015	9	1016	1982
1054	22	1055	1982
1474	22	1475	1982
1584	0	1585	1982
1612	9	1613	1982
1680	9	1681	1982
40	14	1761	1982
2082	9	2083	1982
2699	9	1415	1982
2834	22	2835	1982
478	14	3169	1982
3211	9	3212	1982
3598	0	3599	1982
70	19	3760	1982
1203	11	3797	1982
3931	9	3932	1982
517	0	4256	1982
4381	9	4382	1982
4406	22	4407	1982
4729	0	4730	1982
5276	9	5277	1982
5296	13	5297	1982
5430	11	5431	1982
5530	9	5531	1982
5878	19	5879	1982
5956	0	5957	1982
40	14	6171	1982
6369	9	6370	1982
1157	19	6595	1982
6698	4	6699	1982
6945	9	6946	1982
6947	9	6948	1982
40	14	6952	1982
7550	4	7551	1982
40	14	7693	1982
788	12	7694	1982
275	19	7789	1982
7647	19	7973	1982
70	19	7983	1982
40	14	8037	1982
8213	19	8214	1982
2797	12	8374	1982
8447	22	8448	1982
8964	1	8965	1982
9011	11	9012	1982
9045	9	9046	1982
5563	19	9340	1982
9714	9	9715	1982
40	14	10006	1982
3021	9	7369	1982
10542	9	10543	1982
2968	0	10606	1982
10738	7	10739	1982
70	19	10784	1982
40	14	10807	1982
5605	0	10979	1982
5563	19	11132	1982
70	19	11327	1982
11632	9	11633	1982
11712	9	2490	1982
1134	19	11761	1982
535	9	11807	1982
170	0	171	1983
313	2	314	1983
40	14	394	1983
512	11	513	1983
568	1	569	1983
1013	9	1014	1983
1054	22	1055	1983
1325	19	1326	1983
1474	22	1475	1983
1584	0	1585	1983
1612	9	1613	1983
1680	9	1681	1983
40	14	1761	1983
1875	22	1876	1983
1886	31	1887	1983
1408	0	1934	1983
2183	0	2184	1983
70	9	2766	1983
478	14	3169	1983
3598	0	3599	1983
70	19	3760	1983
1203	11	3797	1983
293	9	3858	1983
40	14	4110	1983
517	0	4256	1983
4406	22	4407	1983
4729	0	4730	1983
4753	9	4754	1983
70	19	4877	1983
5276	9	5277	1983
5530	9	5531	1983
5595	4	5596	1983
40	14	5869	1983
5956	0	5957	1983
6369	9	6370	1983
40	14	6414	1983
40	14	6482	1983
1157	19	6595	1983
6698	4	6699	1983
70	19	6787	1983
6945	9	6946	1983
6947	9	6948	1983
1325	19	1326	1983
70	19	6996	1983
5465	19	7052	1983
7307	11	3797	1983
7647	19	7973	1983
70	19	7983	1983
40	14	8037	1983
339	22	8342	1983
8513	22	8514	1983
8803	9	421	1983
8894	0	8895	1983
9011	11	9012	1983
9218	0	9219	1983
5563	19	9340	1983
9703	9	9704	1983
9906	9	9907	1983
9983	9	5999	1983
40	14	10006	1983
1379	19	10021	1983
3021	9	7369	1983
6338	1	10462	1983
10522	22	10523	1983
10559	9	10560	1983
10738	7	10739	1983
70	19	10784	1983
11116	0	11117	1983
70	19	11196	1983
70	19	11327	1983
8454	29	8455	1983
11712	9	2490	1983
1134	19	11761	1983
170	0	171	1984
174	9	175	1984
40	14	394	1984
411	0	412	1984
512	11	513	1984
40	14	792	1984
1100	9	1101	1984
1303	0	1304	1984
1325	19	1326	1984
1542	2	1543	1984
1729	4	1730	1984
1768	0	1769	1984
1875	22	1876	1984
1886	31	1887	1984
1888	20	1889	1984
1892	19	1893	1984
275	19	1907	1984
1408	0	1934	1984
2183	0	2184	1984
2380	19	2381	1984
2324	11	677	1984
70	19	2734	1984
70	9	2766	1984
2968	0	2969	1984
152	14	3194	1984
2127	11	3298	1984
40	14	3484	1984
4060	17	4061	1984
40	14	4110	1984
625	11	4479	1984
40	14	4504	1984
40	14	4625	1984
4655	22	4656	1984
517	0	4672	1984
4753	9	4754	1984
4827	9	4828	1984
70	19	4877	1984
70	19	5063	1984
997	14	5108	1984
5595	4	5596	1984
3921	31	513	1984
415	19	5780	1984
40	14	5869	1984
40	14	6414	1984
40	14	6482	1984
70	19	6787	1984
415	19	6799	1984
6920	2	618	1984
1325	19	1326	1984
70	19	6996	1984
3845	17	7046	1984
5465	19	7052	1984
40	14	7716	1984
40	14	7777	1984
40	14	6482	1984
8034	9	5108	1984
1949	9	8185	1984
339	22	8342	1984
1294	19	8418	1984
834	22	8467	1984
8513	22	8514	1984
70	19	8762	1984
8894	0	8895	1984
9218	0	9219	1984
